run_name,method,method_tag,adaptive_rel_mode,density,mobility,noise,energy,seed,windows_run,avg_rmse_all,std_rmse_all,p95_rmse_all,avg_rmse_non,std_rmse_non,p95_rmse_non,avg_objective,avg_K,min_K,max_K,pct_cap_limited,total_energy_spent,final_energy_remaining,spike_rejections,nodes_clamped_total,K_fixed,contact_threshold,smacof_iters
HD-MH-NH-EL-GMDS-S2,GMDS,GMDS,,HD,H,H,L,2,7,12.003753761309069,4.338773357779364,14.590798012386632,11.840658737137089,4.2696173848655565,14.521767058982414,13.263753761309067,7.0,7,7,0.0,73.5,6.5,0,0,7,,
HD-MH-NH-EL-S1,adaptive,,classical,HD,H,H,L,1,11,9.47455222177965,4.445066877849253,14.526624458667325,9.783551983491604,4.608683683057643,14.973596949305236,10.341824949052379,4.818181818181818,3,6,0.0,79.5,0.5,0,0,,,
HD-MH-NH-EL-S2,adaptive,,classical,HD,H,H,L,2,12,10.485688710121499,4.60176157999033,16.604049037024943,10.570410416782364,4.59159447556459,16.75317494096905,11.295688710121498,4.5,4,5,0.0,81.0,0.0,0,0,,,
HD-MH-NH-EL-S3,adaptive,,classical,HD,H,H,L,3,14,10.764428408277814,12.152172697158706,33.86662329169885,11.083002257359505,12.641053909950575,35.244950295849605,11.47157126542067,3.9285714285714284,3,5,0.0,82.5,0.0,0,0,,,
HD-MH-NH-EL-SMACOF-S1,SMACOF,SMACOF,,HD,H,H,L,1,7,7.343204340547525,6.643663570735408,17.6774155332029,7.264219759422473,6.646379860596119,17.577061004424255,8.603204340547526,7.0,7,7,0.0,73.5,6.5,0,0,7,,
HD-MH-NH-EL-SMACOF-S2,SMACOF,SMACOF,,HD,H,H,L,2,7,7.74467298795476,6.07298640299169,14.985982444009785,7.66030436701548,5.9412566556150495,14.756087816476951,9.004672987954761,7.0,7,7,0.0,73.5,6.5,0,0,7,,
HD-MH-NL-EH-ADAPT-CLASSICAL-S1,adaptive,EH-ADAPT-CLASSICAL,classical,HD,H,L,H,1,40,10.305586541648953,7.3776702609955365,17.130792945439552,10.372637693992942,7.421487763741968,17.11505870643093,11.412586541648952,6.15,3,10,0.0,246.0,154.0,0,0,,,
HD-MH-NL-EH-ADAPT-CLASSICAL-S2,adaptive,EH-ADAPT-CLASSICAL,classical,HD,H,L,H,2,40,9.579117343317225,8.04072689643637,17.629915605914544,9.643473291665495,8.09712639783213,18.02276908515953,10.425117343317224,4.7,3,7,0.0,188.0,212.0,0,0,,,
HD-MH-NL-EH-ADAPT-GMDS-S1,adaptive,EH-ADAPT-GMDS,GMDS,HD,H,L,H,1,40,9.595461240020526,7.178453357440624,17.267826083304833,9.726365601886094,7.267579106734656,17.769492069830047,10.738461240020527,6.35,4,9,0.0,254.0,146.0,0,0,,,
HD-MH-NL-EH-ADAPT-GMDS-S2,adaptive,EH-ADAPT-GMDS,GMDS,HD,H,L,H,2,40,9.429116338576813,7.282948525768095,16.594933055173033,9.491365051543525,7.330353716982613,16.822178080719297,10.639616338576813,6.725,4,10,0.0,269.0,131.0,0,0,,,
HD-MH-NL-EH-ADAPT-SMACOF-S1,adaptive,EH-ADAPT-SMACOF,SMACOF,HD,H,L,H,1,40,10.253838093488156,7.455661239930782,16.87994017139563,10.332700793369428,7.521433021090036,17.2152889909178,11.567838093488158,7.3,3,11,0.0,292.0,108.0,0,0,,,
HD-MH-NL-EH-ADAPT-SMACOF-S2,adaptive,EH-ADAPT-SMACOF,SMACOF,HD,H,L,H,2,40,9.274561719584572,7.904699491699764,17.14845994789101,9.28965764957094,7.923444790902172,17.299617972370072,10.233061719584573,5.325,3,9,0.0,213.0,187.0,0,0,,,
HD-MH-NL-EH-FIXK12-S1,fixed,FIXK12-S1,,HD,H,L,H,1,33,0.30408472313551854,0.046820557539928635,0.38573145054888575,0.31815053489152667,0.04907655943359268,0.4159565654802074,2.4640847231355183,12.0,12,12,0.0,396.0,4.0,0,0,12,,
HD-MH-NL-EH-FIXK12-S2,fixed,FIXK12-S2,,HD,H,L,H,2,33,10.312610360543948,5.701667036506691,15.098325205520446,10.236006055183706,5.681105272516319,14.942966056655994,12.472610360543946,12.0,12,12,0.0,396.0,4.0,0,0,12,,
HD-MH-NL-EH-FIXK3-S1,fixed,FIXK3-S1,,HD,H,L,H,1,40,0.77057651746297,2.378509914115365,0.6313860177972032,0.7845585903007952,2.3930353225028624,0.6514389887939132,1.31057651746297,3.0,3,3,0.0,120.0,280.0,0,0,3,,
HD-MH-NL-EH-FIXK3-S2,fixed,FIXK3-S2,,HD,H,L,H,2,40,11.67721984128631,5.778224277542438,17.337229807728082,11.767915542950853,5.833942669604891,17.562591755771017,12.21721984128631,3.0,3,3,0.0,120.0,280.0,0,0,3,,
HD-MH-NL-EH-FIXK6-S1,fixed,FIXK6-S1,,HD,H,L,H,1,40,0.6895760714147443,2.1896393129717797,0.44668385445684233,0.6964621799297838,2.149682122729083,0.4622627638061381,1.769576071414744,6.0,6,6,0.0,240.0,160.0,0,0,6,,
HD-MH-NL-EH-FIXK6-S2,fixed,FIXK6-S2,,HD,H,L,H,2,40,10.829970091072727,5.321670041074457,15.023283646308835,10.782232486804542,5.310210284651859,14.849075622436219,11.909970091072728,6.0,6,6,0.0,240.0,160.0,0,0,6,,
HD-MH-NL-EH-FIXK9-S1,fixed,FIXK9-S1,,HD,H,L,H,1,40,0.6793192690809821,2.209983739754622,0.47158901116708324,0.6944292046062749,2.2125195034523517,0.491644293326122,2.299319269080982,9.0,9,9,0.0,360.0,40.0,0,0,9,,
HD-MH-NL-EH-FIXK9-S2,fixed,FIXK9-S2,,HD,H,L,H,2,40,10.676492341635285,5.2492730823944305,15.071690817379576,10.613530790117407,5.234651657782382,14.95350103125451,12.296492341635284,9.0,9,9,0.0,360.0,40.0,0,0,9,,
HD-MH-NL-EH-GMDS-S1,GMDS,GMDS,,HD,H,L,H,1,40,1.600499535210302,2.6453779746356716,3.3369898327384253,1.6192124059539754,2.586908123871712,3.4924467999139073,2.860499535210302,7.0,7,7,0.0,280.0,120.0,0,0,7,,
HD-MH-NL-EH-GMDS-S2,GMDS,GMDS,,HD,H,L,H,2,40,13.294689880032099,3.9402455674093617,16.29278414076271,13.189920264281483,3.929785149540265,16.28269653763521,14.5546898800321,7.0,7,7,0.0,280.0,120.0,0,0,7,,
HD-MH-NL-EH-S1,adaptive,,classical,HD,H,L,H,1,40,10.305586541648953,7.3776702609955365,17.130792945439552,10.372637693992942,7.421487763741968,17.11505870643093,11.412586541648952,6.15,3,10,0.0,246.0,154.0,0,0,,,
HD-MH-NL-EH-S2,adaptive,,classical,HD,H,L,H,2,40,9.579117343317225,8.04072689643637,17.629915605914544,9.643473291665495,8.09712639783213,18.02276908515953,10.425117343317224,4.7,3,7,0.0,188.0,212.0,0,0,,,
HD-MH-NL-EH-S3,adaptive,,classical,HD,H,L,H,3,40,0.32877630577816386,0.06908672982407903,0.4402777110297376,0.340207465492153,0.07216539190307916,0.45712052536899633,0.9902763057781637,3.675,3,5,0.0,147.0,253.0,0,0,,,
HD-MH-NL-EH-SMACOF-S1,SMACOF,SMACOF,,HD,H,L,H,1,40,0.5411231933722405,2.512744543105615,0.17714540847054283,0.5618166407226328,2.609171386130516,0.18080741508711834,1.8011231933722407,7.0,7,7,0.0,280.0,120.0,0,0,7,,
HD-MH-NL-EH-SMACOF-S2,SMACOF,SMACOF,,HD,H,L,H,2,40,10.568331128762761,5.309274475988753,15.171460370090179,10.495014408970318,5.283559201509365,14.944130908568628,11.82833112876276,7.0,7,7,0.0,280.0,120.0,0,0,7,,
HD-MH-NL-EL-ADAPT-CLASSICAL-S1,adaptive,EL-ADAPT-CLASSICAL,classical,HD,H,L,L,1,14,4.415736678507419,6.485089998400746,15.109433602063053,4.462546773263756,6.539133015038829,15.208045700417594,5.0971652499359905,3.7857142857142856,3,5,0.0,79.5,0.5,0,0,,,
HD-MH-NL-EL-ADAPT-CLASSICAL-S2,adaptive,EL-ADAPT-CLASSICAL,classical,HD,H,L,L,2,12,2.6199497325187395,5.213864602626229,14.176970053519858,2.6218074237695994,5.195581759617104,14.116062484571621,3.3849497325187397,4.25,4,5,0.0,76.5,3.5,0,0,,,
HD-MH-NL-EL-ADAPT-GMDS-S1,adaptive,EL-ADAPT-GMDS,GMDS,HD,H,L,L,1,12,2.7136998315679435,4.365350947182453,10.379937833854871,2.796454322352004,4.4866053500032095,10.681063743334228,3.5236998315679435,4.5,4,5,0.0,81.0,0.0,0,0,,,
HD-MH-NL-EL-ADAPT-GMDS-S2,adaptive,EL-ADAPT-GMDS,GMDS,HD,H,L,L,2,11,4.296163223901352,5.910200671649457,14.124421807658923,4.265547341445498,5.81301835617083,13.9733791672104,5.196163223901351,5.0,4,6,0.0,82.5,0.0,0,0,,,
HD-MH-NL-EL-ADAPT-SMACOF-S1,adaptive,EL-ADAPT-SMACOF,SMACOF,HD,H,L,L,1,13,3.691740328084941,6.471361823132155,15.775241999482466,3.7351179350710826,6.539348953635687,16.01933517837748,4.397894174238787,3.923076923076923,3,5,0.0,76.5,3.5,0,0,,,
